GameID,Game,Genre,Release_date
1,Overwatch,First-Person Shooter,3/5/2016
2,Starcraft II,Strategy,18/12/1998
3,League of Legends,Multiplayer Online Battle Arena,27/10/2009
4,Fortnite,Battle Royale,21/7/2017
5,Counter-Strike: Global Offensive,First-Person Shooter,8/11/2000
6,Dota 2,Multiplayer Online Battle Arena,9/3/2013
7,PUBG,Battle Royale,23/3/2017
8,Heroes of the Storm,Multiplayer Online Battle Arena,2/6/2015
9,Hearthstone,Collectible Card Game,11/3/2014
10,Arena of Valor,Multiplayer Online Battle Arena,14/10/2016
